Transaction Date,Clearing Date,Description,Merchant,Category,Type,Amount (USD)
05/31/2021,05/31/2021,"ACH DEPOSIT INTERNET TRANSFER FROM ACCOUNT ENDING IN 2593","Ach Deposit Internet Transfer From Account Ending In 2593","Payment","Payment","-154.56"
05/25/2021,05/27/2021,"3A GAS PLUS 1233 N CIRCLE DR COLORADO SPRI80909 CO USA","3a Gas Plus","Gas","Purchase","31.70"
05/25/2021,05/26/2021,"ROADHOUSE CINEMAS - CO3030 N NEVADA AVE COLORADO SPRI80907 CO USA","Roadhouse Cinemas - CO","Entertainment","Purchase","15.00"
05/11/2021,05/11/2021,"DAILY CASH ADJUSTMENT","Daily Cash Adjustment","Debit","Debit","0.31"
05/10/2021,05/11/2021,"BOUQS.COM 8883202687 665 WASHINGTON BLVD 8883202687 90292 CA USA","Bouqs.com 8883202687","Other","Purchase","-31.03"
04/30/2021,05/02/2021,"BOUQS.COM 8883202687 665 WASHINGTON BLVD 8883202687 90292 CA USA","Bouqs.com 8883202687","Other","Purchase","31.03"
